,Id,SalePrice
0,1461,120995.6918373742
1,1462,155483.68871045887
2,1463,185436.6248918371
3,1464,202813.4303344185
4,1465,193343.5950808065
5,1466,170202.39864227406
6,1467,181676.26033580973
7,1468,161743.46041730334
8,1469,197075.75497699858
9,1470,119126.05772974789
10,1471,192380.33208775104
11,1472,97336.90788146736
12,1473,93506.0052572786
13,1474,145295.32853239294
14,1475,111861.36620222677
15,1476,363997.0514726354
16,1477,244091.7602105103
17,1478,290925.19601548294
18,1479,289624.8807414203
19,1480,480138.9495482236
20,1481,322002.5997959693
21,1482,209908.25301939785
22,1483,179266.99481214848
23,1484,160974.31124022228
24,1485,187547.77044982498
25,1486,194779.5867812789
26,1487,335946.1393202115
27,1488,244159.49122222373
28,1489,194176.0329597763
29,1490,249315.0230579513
30,1491,192950.12344196445
31,1492,92724.66299873365
32,1493,186072.4454789751
33,1494,288999.8941959533
34,1495,287093.77682377235
35,1496,238344.9532740453
36,1497,183218.8545895331
37,1498,167200.74221785011
38,1499,162146.93224836295
39,1500,157287.85114210568
40,1501,171844.5587524177
41,1502,140691.97392298735
42,1503,301972.6906836404
43,1504,240127.16042189582
44,1505,225297.05932872734
45,1506,192941.5707939076
46,1507,260701.7975537665
47,1508,208514.10060108878
48,1509,161970.1402038625
49,1510,142715.31291924976
50,1511,150815.53092958513
51,1512,175491.16305786645
52,1513,156098.00703143087
53,1514,151081.2316657766
54,1515,192735.02073683418
55,1516,156020.2514426617
56,1517,175875.53951313632
57,1518,131471.63980533788
58,1519,210290.170262707
59,1520,127698.04510665234
60,1521,133770.52740347164
61,1522,176711.63816305547
62,1523,111328.28118983952
63,1524,128094.85888808331
64,1525,123605.08777821733
65,1526,110895.1544844752
66,1527,104680.55371397178
67,1528,142634.60078389174
68,1529,150554.4029681876
69,1530,193499.2149872255
70,1531,101421.07123233723
71,1532,95585.15558066218
72,1533,151131.52972496147
73,1534,123115.27988097955
74,1535,153193.63270657326
75,1536,109588.65250257755
76,1537,59936.81396107219
77,1538,150894.57121085594
78,1539,188143.50783242495
79,1540,97222.18033085382
80,1541,140788.18236660134
81,1542,142749.57410707895
82,1543,189521.7008568434
83,1544,86017.54915407478
84,1545,115328.08638219655
85,1546,133120.9287509695
86,1547,127527.23161172966
87,1548,139054.5811966336
88,1549,118021.59520403798
89,1550,132707.43157456315
90,1551,106555.42161396613
91,1552,136888.49158761217
92,1553,148460.46083389997
93,1554,120239.23499141936
94,1555,160802.23299815692
95,1556,83690.78809355697
96,1557,107391.75406263805
97,1558,100970.28032893596
98,1559,66346.28155900277
99,1560,136255.97018579688
100,1561,125863.29204338996
101,1562,130831.41436686511
102,1563,123407.74339346224
103,1564,157806.83829515782
104,1565,146083.56660320755
105,1566,243887.57003745044
106,1567,76879.77363732213
107,1568,237120.28960898457
108,1569,130681.58068654322
109,1570,139051.7719668605
110,1571,116442.61852353578
111,1572,147259.76030852017
112,1573,245143.50901086067
113,1574,127239.29179621002
114,1575,236546.24018858752
115,1576,256593.27277184068
116,1577,180245.2722551842
117,1578,143287.04717725443
118,1579,143634.85386884926
119,1580,195030.64933043698
120,1581,159621.65019270868
121,1582,124640.81357514995
122,1583,296768.43129844556
123,1584,220998.77356875862
124,1585,136004.85891329125
125,1586,67851.59421007121
126,1587,103382.96847545836
127,1588,159599.87706988605
128,1589,99661.08899475234
129,1590,137301.12691453326
130,1591,94663.92749796291
131,1592,116694.32660741107
132,1593,121446.61953499496
133,1594,131116.36463032025
134,1595,105404.87707604693
135,1596,225514.53161002652
136,1597,194743.64416593313
137,1598,223497.73409161586
138,1599,168959.83755501272
139,1600,158410.34483105948
140,1601,67490.62356379708
141,1602,116401.95059596241
142,1603,74267.57354643174
143,1604,266832.91040693165
144,1605,240979.2734050676
145,1606,171125.30533494352
146,1607,176838.87641109465
147,1608,214753.99178372388
148,1609,182800.24446324902
149,1610,146279.23599086693
150,1611,140352.04037122783
151,1612,173206.13512550044
152,1613,168730.7176128156
153,1614,133273.73991544408
154,1615,92472.12462910572
155,1616,78369.67788873112
156,1617,94216.42455354001
157,1618,126025.43340555266
158,1619,138934.85841594788
159,1620,161389.09772240027
160,1621,134854.61067824645
161,1622,140490.20331023872
162,1623,260865.88028500328
163,1624,213406.10233774755
164,1625,116723.16434678914
165,1626,169391.90865660892
166,1627,195598.49628839613
167,1628,284438.53520934813
168,1629,176168.69983275473
169,1630,348630.5418851883
170,1631,222567.4499949812
171,1632,233682.30692553072
172,1633,169290.06797420626
173,1634,182475.84516529142
174,1635,170792.7014594528
175,1636,151173.09186013704
176,1637,205325.8144244734
177,1638,180170.47762956488
178,1639,189848.101459546
179,1640,254919.28152327862
180,1641,183406.06246755403
181,1642,238382.89990310022
182,1643,213073.4300622112
183,1644,230420.22149790177
184,1645,204045.97869977847
185,1646,161171.68229872454
186,1647,159395.1516768831
187,1648,128767.32193381686
188,1649,138641.68610028905
189,1650,111335.92493640305
190,1651,122719.61720785101
191,1652,96436.47975950627
192,1653,99339.6720813599
193,1654,139833.89734490772
194,1655,134143.28142946967
195,1656,138282.43752338763
196,1657,144084.6083993534
197,1658,140757.0021906398
198,1659,118135.54699021965
199,1660,154227.99484864037
200,1661,435471.5348980875
201,1662,413401.31518055894
202,1663,368728.5132577735
203,1664,501816.9880363546
204,1665,304953.7727561406
205,1666,327662.52125216334
206,1667,398767.31243112386
207,1668,335007.3647237379
208,1669,300750.87237083196
209,1670,335156.4184520449
210,1671,256636.73614070364
211,1672,415332.4333632062
212,1673,286028.2614627764
213,1674,235474.6672153577
214,1675,194294.66694620764
215,1676,192781.128178226
216,1677,218182.44087036414
217,1678,453878.10000368755
218,1679,384112.6959029246
219,1680,330710.8167426442
220,1681,244315.0202499131
221,1682,308907.29663491173
222,1683,181809.79437522602
223,1684,170920.5176942934
224,1685,169869.96947026497
225,1686,168085.88555920418
226,1687,168257.09794812728
